,url,resolved_url
0,furuitang.tmall.com,
1,zhujinwang.com,
2,aeipro.com,
3,automotivemileposts.com,
4,bta.com,https://www.bta.com/de
5,cpecs.info,
6,borrowelastic.com,
7,drea.co.cr,https://drea.co.cr/
8,bjqx.org.cn,
9,lesh.vn,
10,bionut.org,
11,6qisq.com,
12,perfectpicture.online,
13,djmoob.com,
14,peperonity.de,
15,torbat-music.ir,
16,vulcan.lt,https://www.vulcan.lt/
17,miiqu.net,
18,cooool.co,
19,synapse.nhs.uk,
20,csgobase.net,
21,alltombostad.se,https://www.alltombostad.se/
22,commandersociety.com,
23,kulturarena.de,https://www.kulturarena.de/
24,evgeni77.ru,
25,bumoodle.com,
26,maxkit.com.tw,
27,president.go.ke,
28,cbdkurier.ch,
29,ghom.ir,
30,realteachertutors.com.au,
31,bizequity.com,
32,shiponshore.wordpress.com,https://shiponshore.wordpress.com/
33,sharefa.st,https://sharefa.st/
34,pixelgloss.com,
35,premiumparking.com,
36,tacticaltennis.com,
37,fyldegrass.co.uk,
38,tips-komputer.co,
39,evioo.com,
40,autodoc.ee,
41,gosonic.com.tr,https://gosonic.com.tr/
42,argedata.at,
43,darichehzard.blogspot.co.uk,
44,hannan.co.uk,
45,pointerfocus.com,
46,vandalshoes.com,
47,uukkr.com,
48,ysdwl.cn,
49,hr.ps,
50,trucox.com,
51,hec.de,
52,friars.com,
53,rincondelpack.com,
54,trirhena.sharepoint.com,
55,pooyait.blog.ir,
56,kfrgteu.ru,
57,gentingalderneylive.com,
58,nerima-tky.ed.jp,
59,greatclassified.in,
60,madigamatrimony.com,
61,zcharter.net,
62,snappy.ink,
63,slimkslowdown.com,
64,zaneen.com,
65,xlsin.com,
66,aglife.com,
67,petshrimp.com,
68,taispd.com,
69,shengli.com,
70,zet-obuv.ru,
71,lavettegrice.com,
72,correctuae.com,
73,himeriku.com,
74,businessreviewcanada.ca,
75,devilhouse.org,
76,cellhire.com,
77,weblinenews.us,
78,gutonlineplus.de,
79,merceroneview.ie,
80,mysodexo.es,
81,helpyouchoose.org,
82,budgetpetcare.com,
83,fargond.gov,
84,bielerseefreaks.ch,
85,networkats.com,
86,allholestube.com,
87,newcanaan.info,
88,daskirchenjahr.de,
89,bepublishing.com,
90,raw1st.net,
91,arabtv6.com,
92,proofoil.ru,
93,tvvest.no,
94,mantop106906.tumblr.com,
95,hwdgroup.com,
96,dhge.de,
97,jxgaj.gov.cn,
98,xtwo-ssl.jp,
99,la-photo-en-faits.com,
100,r-storona.ru,
101,bierebel.com,
102,mosaiebi.com,
103,ch2ko.com,
104,sandisk.it,
105,docuware-online.com,
106,techtoolsforwriters.com,
107,ghostrecon.net,
108,vitalcard.com.br,https://www.vitalcard.com.br/
109,antherica.it,https://www.antherica.com/en
110,kennedyandoswald.com,
111,russianyogafederation.ru,
112,kaspersky-member.com.tw,https://www.kaspersky-member.com.tw/
113,thrw.ir,https://thrw.ir/
114,gobooksparks.com,https://gobooksparks.com/
115,lou-voyance-divination.com,
116,akai-family.blogspot.com,
117,sfviewlounge.com,
118,xenialbb.net,
119,referr.ru,
120,contes.jp,
121,td-campaigns.com,
122,speednames.asia,https://speednames.com/ta/
123,royalteeslondon.co.uk,
124,tjp.ir,
125,kio.ac.jp,
126,atom-cloud.com,
127,anymoviestream.com,
128,cd.go.com,
129,gioitreviet.net,
130,ioigroup.com,
131,cmcpraha.cz,
132,promkabel.su,
133,mccaldirectory.com,
134,fonabe.go.cr,
135,futura.uz,
136,runpc.com.tw,
137,benaa.org.sa,
138,arkonecall.com,
139,qqfabu.net,
140,malabarstores.com,
141,xb123.top,
142,andragogy.org,
143,kldance.com.au,
144,mahira.id,
145,sina58girl.net,
146,gifcool.com,
147,erogazou-ch.net,
148,designory.com,
149,smartconservationtools.org,
150,gtamods.ir,
151,cocoasso.com,
152,adventures-in-making.com,
153,easypets.in,
154,2ndvote.com,
155,cheque-dejeuner.fr,
156,appreview.in.th,
157,kazeroonnegah.ir,
158,freepornclip.net,
159,momtalk.kr,
160,issjob.be,
161,allmyfavorites.net,
162,hdpcdn.com,
163,visiblevitrum.com,
164,bdmusic.mobi,
165,arcoirisbr.com.br,
166,energosbyt.by,
167,metalist.ua,
168,l-h.de,https://www.l-h.de/en/home.html
169,scm-net.co.jp,
170,tupeparivar.com,
171,geopalz.com,
172,luxe-dolls.com,
173,com.tt,
174,myargo.it,
175,6dg.co.uk,
176,infr.co,
177,spb-design.com,
178,certyou.com,
179,bellefieldcloud.com,
180,daylib.ru,
181,thephoneshop.es,
182,uaz4x4.com,
183,ciab2012.org,
184,omegaconsultancyservice.com,
185,nightgaunt.org,
186,rentafridge.com,
187,facebook-link.info,
188,exigomusic.org,https://exigomusic.org/login.php
189,francefute.com,
190,houseofnow.net,
191,primorskival.si,
192,stopyatki.ru,
193,2h3ss.com,
194,elmecsolar.com,
195,advancenetgroup.co.za,
196,baltbet365.xyz,
197,i-kancelaria.pl,https://www.i-kancelaria.pl/
198,portalmda.com,
199,vthgchstpsylla.download,
200,datron.de,
201,adinod.com,
202,ekz.ch,https://www.ekz.ch/de/angebote.html
203,thebigbangupdating.pw,
204,ergonotes.ru,
205,dragonballhunt.net,
206,moto.be,
207,genevaupdates.com,
208,imft.fr,
