,url,resolved_url
260000,topvintage.net,https://topvintage.net/
260001,entertainment14.com,http://game.entertainment14.com/
260002,pakinformation.com,
260003,theflippedclassroom.es,https://www.theflippedclassroom.es/
260004,cgcircuit.com,http://cgcircuit.com/
260005,evilbardock.com,https://evilbardock.com/
260006,tamperelainen.fi,https://www.tamperelainen.fi:443/
260007,dodoodad.com,https://dodoodad.com/
260008,yooclick.com,https://yooclick.com/
260009,convertedgames.com,
260010,masteram.com.ua,https://masteram.com.ua/uk/
260011,marinerfinance.com,https://www.marinerfinance.com/
260012,countrybank.com,https://www.countrybank.com/
260013,sci-viral.com,
260014,aninebing.com,
260015,apextactical.com,https://apextactical.com/
260016,dailyrewards.com,https://www.dailyrewards.com/
260017,sheleadsafrica.org,https://sheleadsafrica.org/
260018,ildubbio.news,https://www.ildubbio.news/
260019,cubetubeporn.com,
260020,internetmultimediaonline.org,https://nmtonline.org/login
260021,animalear.com,https://animalear.com/maintenance/construction
260022,100mp3trend.com,https://100mp3trend.com/
260023,iamatexan.com,https://iamatexan.com/
260024,starspins.com,
260025,sat-co.info,
260026,gelbe-liste.de,https://www.gelbe-liste.de/
260027,urbanvegan.net,https://urbanvegan.net/
260028,citaty.ru,https://citaty.ru/
260029,surkus.com,https://choudo.us.com/
260030,flirtymania.plus,
260031,healthyessentials.com,
260032,javpeak.com,
260033,supermamy.pl,https://supermamy.papilot.pl/
260034,vsehvosty.ru,https://vsehvosty.ru/
260035,calltrackdata.com,https://calltrackdata.com/users/sign_in
260036,soccersavings.com,https://www.soccersavings.com
260037,mpsoftware.dk,https://mpsoftware.dk/
260038,estudareaprender.com,https://estudareaprender.com/
260039,indozone.net,https://indozone.net/
260040,diycandy.com,https://diycandy.com/
260041,floricolor.pt,https://floricolor.pt/
260042,farmaciaeficacia.com.br,https://www.farmaciaeficacia.com.br/
260043,rosie.com,https://rosie.com/
260044,peugeot.cz,https://www.peugeot.cz/
260045,barbellapparel.com,https://barbellapparel.com/
260046,fansubdb.net,
260047,gvozdem.ru,https://www.gvozdem.ru/
260048,resulttogel.net,https://resulttogel.net/
260049,seattlehumane.org,https://www.seattlehumane.org/
260050,infodoctor.ru,
260051,missfresh.cn,
260052,agromatica.es,https://www.agromatica.es/
260053,imankatolik.or.id,https://imankatolik.or.id/
260054,webapoteket.dk,https://www.webapoteket.dk/
260055,dvb-t2hd.de,https://www.dvb-t2hd.de/
260056,bodyblablog.ru,https://bodyblablog.ru/
260057,wowava.com,
260058,letourdefrance.cz,
260059,udger.com,
260060,habito.com,https://www.habito.com/
260061,damnet.or.jp,
260062,ipums.org,https://www.ipums.org/
260063,estoycerca.com,https://estoycerca.com/
260064,kurzweil.com,
260065,petbucket.com,
260066,interquest.com,
260067,2017pvp.com,
260068,visitjeju.net,
260069,locarisa.com,
260070,hotlink.net,
260071,gymmembershipfees.com,
260072,zhaopingou.com,
