,url,resolved_url
0,kcho.jp,
1,lefigaro.com,
2,trendoffset.com,
3,mcit.gov.et,
4,h-fg.net,
5,zhidaow.com,
6,mutuelles-francaises.fr,
7,yourperfect2upgrades.win,
8,thecsgobot.com,
9,niesbud.nic.in,
10,app-empire.mobi,
11,ccuut.edu.cn,
12,seksizle11.com,
13,torras.tmall.com,https://torras.world.tmall.com/shop/view_shop.htm
14,trafficadventure.net,
15,westchesterclerk.com,https://www.westchesterclerk.com/
16,parisladouce.com,
17,pirolashopping.com,
18,taraftarium24hd.net,
19,cribthemes.com,
20,spinning.tomsk.ru,
21,eenaduclassifieds.com,https://www.eenaduclassifieds.com/
22,myvina.co.kr,
23,mortgageccn.com,
24,amaiu.edu.bh,
25,udonthani3.go.th,
26,smartdeblur.net,
27,hostmaker.co,
28,jazzcardmovil.com,
29,animetokyotv7.com,
30,hautelook.net,
31,lesbuzz24.com,
32,thezootube.com,
33,revedecouple.com,https://www.revedecouple.com/
34,dairiki.org,https://www.dairiki.org/
35,adityabirlahealth.com,
36,protect-me.top,
37,ndk.com,
38,udelistmo.edu,https://www.udelistmo.edu/
39,linkcontentc.com,
40,minecraft-mod.pw,
41,gps1010.com,
42,365hf.com,
43,smartconnectmga.com.br,
44,superforty.com,
45,hourlypayee.com,
46,shinewing.com,
47,grannyoldsex.com,
48,vaz-remont.ru,https://rf.ru/vaz-remont.ru
49,izzyreduceri.ro,
50,statpedu.sk,https://www.statpedu.sk/sk/
51,sklepwaneko.pl,https://sklepwaneko.pl/
52,zeegal.com,https://www.hugedomains.com/domain_profile.cfm?d=zeegal.com
53,eroantenna.jp,
54,fargobet.ru,
55,filetie.net,
56,elitegamer.co,
57,imhds.co.jp,
58,konabyhyundai.com,
59,cfapharmacie.fr,
60,pwlan.ch,
61,belifinhydration.com,
62,bikejoho.com,https://bikejoho.com/
63,resourcedepot.co,
64,drug-vo-krug.ru,
65,pixomondo.com,https://www.pixomondo.com/
66,sneaker-baka.com,
67,witz-des-tages.de,
68,baoyoushe.com,
69,siyahtube.net,
70,waitingfornextyear.com,https://www.waitingfornextyear.com/
71,systematic.com.hk,https://systematic.com.hk/
72,queenbet22.com,
73,orixcredit.jp,
74,tdtprofesional.com,https://www.tdtprofesional.com/es/
75,jcefs.edu.hk,
76,nichicon.co.jp,
77,vapingbest.com,
78,smashtrash.ru,https://smashtrash.ru/
79,oleshou.ru,
80,kislenko.net,http://kislenko.net/
81,tugrahan.net,
82,trendycoolpix.com,
83,nomnom.technology,
84,mobilnik.kg,
85,esso.ca,https://www.esso.ca/en-ca
86,kinderyata.ru,https://semicvetic.com/
87,revistaanalisis.com.ar,
88,miscuentosdeterror.com,
89,memberhub.com,
90,kajot.racing,
91,oia.cn,
92,zhitui.com,
93,wper.com,
94,javoneh.ir,
95,uni140.club,
96,avtoprofi.com,
97,ottoperuna.com,https://www.hugedomains.com/domain_profile.cfm?d=ottoperuna.com
98,chillouts.com,
99,nudb.tv,
100,343u.com,
101,77aax.com,
102,qualtexuk.com,http://qualtexuk.com/
103,20pop.ir,
104,lohastyle.biz,
105,faucetfree.online,
106,namadij.net,
107,feixanet.com,
108,portalazamericaazbox.tv,
109,rierin.com,
110,bijint.com,
111,unibague.edu.co,
112,perdic.com,https://perdic.com/
113,chinaicmart.com,
114,mpdf1.com,
115,betpas45.com,
116,mcent.com,
117,sexy-date.net,
118,lenzmx.com,https://lenzmx.com/
119,kellyservices.co.in,
120,devsnc.com,
121,isic.pl,https://www.isic.pl:443/
122,93.gov.cn,https://www.93.gov.cn/
123,senri.ed.jp,
124,cowshedonline.com,http://cowshedonline.com/
125,suntimes.ru,https://vh446.timeweb.ru/parking/?ref=suntimes.ru
126,damas-sa.es,https://damas-sa.es/
127,4salaf.com,
128,baconjapan.com,https://www.baconjapan.com/
129,palladinopellonabogados.com,https://www.palladinopellonabogados.com/
130,hosttech.ch,https://www.hosttech.ch/
131,netdocs.com.pt,
132,primus.eu,
133,k1miao.com,
134,xpipole.com,
135,ucj.edu.sa,
136,jav-zip.org,
137,pachinko-portalsite.com,
138,trencentral.cl,
139,ljmy.info,
140,sppet.cn,
141,koo8.info,
142,efectouniversal.com,
143,stacked-crooked.com,http://stacked-crooked.com/
144,researchgateway.ac.nz,
145,megasport.co.il,https://www.megasport.co.il/
146,kienthucykhoa.edu.vn,
147,myawady.net.mm,
148,josaaguide.in,
149,betorder2.com,
150,myeverettclinic.com,
151,pokejob.com,https://www.hugedomains.com/domain_profile.cfm?d=pokejob.com
152,gulf4cars.com,
153,chubbycheeks-gift.com,
154,unilago.edu.br,
155,mybitcoinbot.com,
156,ovosound.io,
157,mellowmaturewomen.com,
158,japan-discoveries.com,
159,davide-pedersoli.com,https://www.davidepedersoli.com/it
160,hdsti.gov.cn,
161,kajblog.ir,
162,xizang-zhiye.org,
163,supanet.com,
164,avaymoshaver.com,https://avaymoshaver.com/
165,sherpadesk.com,https://www.sherpadesk.com/
166,coilart.net,
167,altaynews.kz,
168,tunisieindustrie.nat.tn,
169,radiolive.co.nz,
170,annstreetstudio.com,
171,valutakurser.no,
172,video-wrld.com,
173,y-bc.co.jp,
174,fangear.com,
175,sitekutusu.com,
176,drugiepodarki.com,
177,akangsuhar.com,
178,people-blogs.com,
179,movasia.online,
180,ssphpgtinoida.com,
181,tcd.gov.tw,
182,gs2me.com,
183,txxx-ma.com,
184,dataglobe.eu,
185,novostionline24.ru,
186,njuskam.net,
187,weizlogy.gq,
188,tabyincenter.ir,
